1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
483241,3;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
483241,3;Player;DamagePerShot;IncreaseTo;15
483241,3;Player;Range;IncreaseTo;100
483407,9;Enemy;Speed;ChangeTo;3,989999
484129,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
484358,5;Enemy;DeathBy;Gun
485135,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
485135,8;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
485411,9;Enemy;Speed;ChangeTo;4,019999
487123,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
487426,1;Enemy;Speed;ChangeTo;4,049999
488567,9;Enemy;DeathBy;Gun
489440,8;Enemy;Speed;ChangeTo;4,079999
491123,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
491123,9;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
491443,4;Enemy;Speed;ChangeTo;4,11
492935,8;Enemy;DeathBy;Gun
493127,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
493247,7;Slider;SuperPower;IncreaseTo;60,65735
493247,7;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
493247,7;Player;DamagePerShot;IncreaseTo;15
493247,7;Player;Range;IncreaseTo;100
493449;Enemy;Speed;ChangeTo;4,14
495126,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
495458,2;Enemy;Speed;ChangeTo;4,17
495806,8;Enemy;DeathBy;Gun
497130,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
497130,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
497242,1;Player;Health;DecreaseTo;70
497242,1;Slider;Health;DecreaseTo;84
497459,8;Enemy;Speed;ChangeTo;4,2
497685,7;Player;Health;DecreaseTo;50
497685,7;Slider;Health;DecreaseTo;56
497894,5;Player;Health;DecreaseTo;30
498053,7;Player;Health;DecreaseTo;10
498053,7;Slider;Health;DecreaseTo;28
498136,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
498414,6;Player;Health;DecreaseTo;-10
498414,6;Player;Death
500755;KeyPress;B
500841,8;Scene;Load;12
511580,3;KeyPress;C
