1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
27780;Joystick;Left;Horizontal;0;Vertical;0
27780;Joystick;Right;Horizontal;0;Vertical;0
27800;Joystick;Left;Horizontal;0;Vertical;0
27800;Joystick;Right;Horizontal;0;Vertical;0
27820;Joystick;Left;Horizontal;0;Vertical;0
27820;Joystick;Right;Horizontal;0;Vertical;0
27840;Joystick;Left;Horizontal;0;Vertical;0
27840;Joystick;Right;Horizontal;0;Vertical;0
27860;Joystick;Left;Horizontal;0;Vertical;0
27860;Joystick;Right;Horizontal;0;Vertical;0
27880;Joystick;Left;Horizontal;0;Vertical;0
27880;Joystick;Right;Horizontal;0;Vertical;0
27900;Joystick;Left;Horizontal;0;Vertical;0
27900;Joystick;Right;Horizontal;0;Vertical;0
27920;Joystick;Left;Horizontal;0;Vertical;0
27920;Joystick;Right;Horizontal;0;Vertical;0
27940;Joystick;Left;Horizontal;0;Vertical;0
27940;Joystick;Right;Horizontal;0;Vertical;0
27960;Joystick;Left;Horizontal;0;Vertical;0
27960;Joystick;Right;Horizontal;0;Vertical;0
27980;Joystick;Left;Horizontal;0;Vertical;0
27980;Joystick;Right;Horizontal;0;Vertical;0
28000;Joystick;Left;Horizontal;0;Vertical;0
28000;Joystick;Right;Horizontal;0;Vertical;0
28020;Joystick;Left;Horizontal;0;Vertical;0
28020;Joystick;Right;Horizontal;0;Vertical;0
28040;Joystick;Left;Horizontal;0;Vertical;0
28040;Joystick;Right;Horizontal;0;Vertical;0
28060;Joystick;Left;Horizontal;0;Vertical;0
28060;Joystick;Right;Horizontal;0;Vertical;0
28080;Joystick;Left;Horizontal;0;Vertical;0
28080;Joystick;Right;Horizontal;0;Vertical;0
28100;Joystick;Left;Horizontal;0;Vertical;0
28100;Joystick;Right;Horizontal;0;Vertical;0
28120;Joystick;Left;Horizontal;0;Vertical;0
28120;Joystick;Right;Horizontal;0;Vertical;0
28140;Joystick;Left;Horizontal;0;Vertical;0
28140;Joystick;Right;Horizontal;0;Vertical;0
28160;Joystick;Left;Horizontal;0;Vertical;0
28160;Joystick;Right;Horizontal;0;Vertical;0
28180;Joystick;Left;Horizontal;0;Vertical;0
28180;Joystick;Right;Horizontal;0;Vertical;0
28200;Joystick;Left;Horizontal;0;Vertical;0
28200;Joystick;Right;Horizontal;0;Vertical;0
28220;Joystick;Left;Horizontal;0;Vertical;0
28220;Joystick;Right;Horizontal;0;Vertical;0
28240;Joystick;Left;Horizontal;0;Vertical;0
28240;Joystick;Right;Horizontal;0;Vertical;0
28260;Joystick;Left;Horizontal;0;Vertical;0
28260;Joystick;Right;Horizontal;0;Vertical;0
28280;Joystick;Left;Horizontal;0;Vertical;0
28280;Joystick;Right;Horizontal;0;Vertical;0
28300;Joystick;Left;Horizontal;0;Vertical;0
28300;Joystick;Right;Horizontal;0;Vertical;0
28320;Joystick;Left;Horizontal;0;Vertical;0
28320;Joystick;Right;Horizontal;0;Vertical;0
28340;Joystick;Left;Horizontal;0;Vertical;0
28340;Joystick;Right;Horizontal;0;Vertical;0
28360;Joystick;Left;Horizontal;0;Vertical;0
28360;Joystick;Right;Horizontal;0;Vertical;0
28380;Joystick;Left;Horizontal;0;Vertical;0
28380;Joystick;Right;Horizontal;0;Vertical;0
28400;Joystick;Left;Horizontal;0;Vertical;0
28400;Joystick;Right;Horizontal;0;Vertical;0
28420;Joystick;Left;Horizontal;0;Vertical;0
28420;Joystick;Right;Horizontal;0;Vertical;0
28440;Joystick;Left;Horizontal;0;Vertical;0
28440;Joystick;Right;Horizontal;0;Vertical;0
28460;Joystick;Left;Horizontal;0;Vertical;0
28460;Joystick;Right;Horizontal;0;Vertical;0
28480;Joystick;Left;Horizontal;0;Vertical;0
28480;Joystick;Right;Horizontal;0;Vertical;0
28500;Joystick;Left;Horizontal;0;Vertical;0
28500;Joystick;Right;Horizontal;0;Vertical;0
28520;Joystick;Left;Horizontal;0;Vertical;0
28520;Joystick;Right;Horizontal;0;Vertical;0
28540;Joystick;Left;Horizontal;0;Vertical;0
28540;Joystick;Right;Horizontal;0;Vertical;0
28560;Joystick;Left;Horizontal;0;Vertical;0
28560;Joystick;Right;Horizontal;0;Vertical;0
28580;Joystick;Left;Horizontal;0;Vertical;0
28580;Joystick;Right;Horizontal;0;Vertical;0
28600;Joystick;Left;Horizontal;0;Vertical;0
28600;Joystick;Right;Horizontal;0;Vertical;0
28620;Joystick;Left;Horizontal;0;Vertical;0
28620;Joystick;Right;Horizontal;0;Vertical;0
28640;Joystick;Left;Horizontal;0;Vertical;0
28640;Joystick;Right;Horizontal;0;Vertical;0
28660;Joystick;Left;Horizontal;0;Vertical;0
28660;Joystick;Right;Horizontal;0;Vertical;0
28680;Joystick;Left;Horizontal;0;Vertical;0
28680;Joystick;Right;Horizontal;0;Vertical;0
28700;Joystick;Left;Horizontal;0;Vertical;0
28700;Joystick;Right;Horizontal;0;Vertical;0
28720;Joystick;Left;Horizontal;0;Vertical;0
28720;Joystick;Right;Horizontal;0;Vertical;0
28740;Joystick;Left;Horizontal;0;Vertical;0
28740;Joystick;Right;Horizontal;0;Vertical;0
28760;Joystick;Left;Horizontal;0;Vertical;0
28760;Joystick;Right;Horizontal;0;Vertical;0
28780;Joystick;Left;Horizontal;0;Vertical;0
28780;Joystick;Right;Horizontal;0;Vertical;0
28800;Joystick;Left;Horizontal;0;Vertical;0
28800;Joystick;Right;Horizontal;0;Vertical;0
28820;Joystick;Left;Horizontal;0;Vertical;0
28820;Joystick;Right;Horizontal;0;Vertical;0
28840;Joystick;Left;Horizontal;0;Vertical;0
28840;Joystick;Right;Horizontal;0;Vertical;0
